Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Height,Weight
Michael Thomas*+,NOR,25,WR,16,16,147,125,85.0%,1405,11.2,9,82,72,9.6,7.8,87.8,2,6-3,212lb
Zach Ertz*,PHI,28,TE,16,16,156,116,74.4%,1163,10.0,8,72,34,7.5,7.3,72.7,1,6-5,250lb
DeAndre Hopkins*+,HOU,26,WR,16,16,163,115,70.6%,1572,13.7,11,85,49,9.6,7.2,98.3,2,6-1,212lb
Julio Jones *,ATL,29,WR,16,16,170,113,66.5%,1677,14.8,8,80,58,9.9,7.1,104.8,2,6-3,220lb
Adam Thielen*,MIN,28,WR,16,16,153,113,73.9%,1373,12.2,9,74,68,9.0,7.1,85.8,1,6-2,200lb
Davante Adams*,GNB,26,WR,15,15,169,111,65.7%,1386,12.5,13,64,57,8.2,7.4,92.4,0,6-1,215lb
JuJu Smith-Schuster*,PIT,22,WR,16,13,166,111,66.9%,1426,12.8,7,67,97,8.6,6.9,89.1,1,6-1,215lb
Christian McCaffrey ,CAR,22,RB,16,16,124,107,86.3%,867,8.1,6,41,38,7.0,6.7,54.2,4,5-11,205lb
Antonio Brown *,PIT,30,WR,15,15,168,104,61.9%,1297,12.5,15,63,78,7.7,6.9,86.5,0,5-10,185lb
Travis Kelce*+,KAN,29,TE,16,16,150,103,68.7%,1336,13.0,10,75,43,8.9,6.4,83.5,2,6-5,260lb
Stefon Diggs,MIN,25,WR,15,14,149,102,68.5%,1021,10.0,9,49,75,6.9,6.8,68.1,0,6-0,191lb
Keenan Allen*,LAC,26,WR,16,14,136,97,71.3%,1196,12.3,6,66,54,8.8,6.1,74.8,3,6-2,211lb
Saquon Barkley*,NYG,21,RB,16,16,121,91,75.2%,721,7.9,4,30,57,6.0,5.7,45.1,0,5-11,233lb
George Kittle*,SFO,25,TE,16,16,136,88,64.7%,1377,15.6,5,60,85,10.1,5.5,86.1,0,6-4,250lb
Tyreek Hill*+,KAN,24,WR,16,16,137,87,63.5%,1479,17.0,12,66,75,10.8,5.4,92.4,0,5-10,185lb
James White ,NWE,26,,16,3,123,87,70.7%,751,8.6,7,46,42,6.1,5.4,46.9,0,5-10,205lb
Mike Evans*,TAM,25,WR,16,16,138,86,62.3%,1524,17.7,8,68,72,11.0,5.4,95.3,2,6-5,231lb
Robert Woods,LAR,26,WR,16,16,130,86,66.2%,1219,14.2,6,74,39,9.4,5.4,76.2,0,6-0,195lb
Alvin Kamara*,NOR,23,RB,15,13,105,81,77.1%,709,8.8,4,37,42,6.8,5.4,47.3,1,5-10,215lb
Jarvis Landry*,CLE,26,WR,16,14,149,81,54.4%,976,12.0,4,44,51,6.6,5.1,61.0,1,5-11,196lb
Brandin Cooks,LAR,25,WR,16,16,117,80,68.4%,1204,15.1,5,70,57,10.3,5.0,75.3,1,5-10,183lb
Odell Beckham Jr.,NYG,26,WR,12,12,124,77,62.1%,1052,13.7,6,50,51,8.5,6.4,87.7,2,5-11,198lb
Ezekiel Elliott*,DAL,23,RB,15,15,95,77,81.1%,567,7.4,3,24,38,6.0,5.1,37.8,6,6-0,228lb
Tyler Boyd,CIN,24,WR,14,14,108,76,70.4%,1028,13.5,7,54,49,9.5,5.4,73.4,0,6-2,203lb
T.Y. Hilton,IND,29,WR,14,14,120,76,63.3%,1270,16.7,6,62,68,10.6,5.4,90.7,0,5-10,183lb
Adam Humphries,TAM,25,WR,16,10,105,76,72.4%,816,10.7,5,48,51,7.8,4.8,51.0,2,5-11,195lb
Amari Cooper*,2TM,24,,15,15,107,75,70.1%,1005,13.4,7,58,90,9.4,5.0,67.0,2,6-1,210lb
Julian Edelman,NWE,32,WR,12,12,108,74,68.5%,850,11.5,6,63,36,7.9,6.2,70.8,1,5-10,198lb
Golden Tate,2TM,30,,15,8,113,74,65.5%,795,10.7,4,36,67,7.0,4.9,53.0,3,5-10,197lb
Tarik Cohen*+,CHI,23,RB,16,7,91,71,78.0%,725,10.2,5,30,70,8.0,4.4,45.3,7,5-6,191lb
Austin Hooper*,ATL,24,te,16,7,88,71,80.7%,660,9.3,4,30,36,7.5,4.4,41.3,0,6-4,254lb
Emmanuel Sanders ,DEN,31,WR,12,12,98,71,72.4%,868,12.2,4,37,64,8.9,5.9,72.3,1,5-11,180lb
Kenny Golladay,DET,25,WR,15,13,119,70,58.8%,1063,15.2,5,55,60,8.9,4.7,70.9,1,6-4,214lb
Larry Fitzgerald,ARI,35,WR,16,16,112,69,61.6%,734,10.6,6,39,37,6.6,4.3,45.9,0,6-3,218lb
